distance_from_home,ratio_to_median_purchase_price,repeat_retailer,used_chip,used_pin_number,fraud
2.2475643282963613,1.3626625780570958,1,1,0,0
5.586407674186407,0.064768465,1,0,0,0
0.8766322564943629,1.5169993152858177,0,0,0,0
2.131955665990563,6.358667321630612,1,0,0,1
179.6651476857078,1.5356404825310114,1,1,1,0
3.922211960165817,0.7037704483696168,1,0,0,0
17.043384432449976,0.3472038763553988,1,0,0,0
53.46555834293632,0.2046127015143529,1,0,0,0
202.7574415997687,0.7755485342012628,1,0,1,0
14.12790501001848,1.2927730476968923,1,1,0,0
24.26890632,1.5017878561262346,1,1,1,0
2.148084810674618,1.0374280646992489,1,1,1,0
7.383905740415544,2.2801468839128525,1,0,0,0
36.43323901338162,1.9238129477771528,1,0,0,0
12.76621731458803,2.7481276779129304,1,0,0,0
6.841207405496939,0.8355508377397158,1,0,0,0
58.97661093654849,0.3301413620228717,1,0,0,0
3.926577889,0.1603788911215032,1,0,0,0
64.41457680200594,0.7909427727860873,1,0,0,0
8.868768948330628,0.2939335875262699,1,0,0,0
2.8679883823669274,2.2176799845747084,1,0,0,0
10.793846701750772,1.9173870404044324,1,0,0,0
11.411762836142476,1.7617248473706295,1,1,0,0
1.532551088402701,0.397260475,0,1,0,0
6.808800330404797,1.6388232989490152,1,0,0,0
5.661214036946767,0.5841163280729911,1,0,0,0
182.8617806125866,0.7745454177477062,1,0,0,0
59.54879608129269,0.086003015,1,0,0,0
15.71682605846159,0.9974451917416198,1,0,0,0
5.169928151047387,1.3488659963734704,1,1,1,0
29.161900107097438,0.6879673688131865,1,0,0,0
13.055737908862952,1.7786906907549227,1,0,0,0
1.3795527755550008,4.871942856500879,0,0,0,1
58.73790271,0.054064969,1,0,0,0
21.28517633669824,0.5836769808081782,1,1,0,0
4.422142802049489,2.096687257379685,1,0,0,0
13.716753248572005,0.4543092260655615,1,1,0,0
4.159180999339164,0.5687525021191133,1,1,0,0
7.7414908040384836,0.6217667280174148,1,0,0,0
